w	aiii	av	biii	bv	fiii	fv	giii	gv	kiii	kv	miii	mv
1865.0	0.416204	0.594493	6.345094	5.854478	0.120084	0.027832	0.000000	0.002163	0.000000	0.000000	0.000000	0.000000
1870.0	0.449733	0.633111	6.551167	6.025439	0.125611	0.033120	0.000000	0.002445	0.000000	0.000000	0.000000	0.000000
1875.0	0.453874	0.642245	6.537384	6.045773	0.139275	0.032954	0.000000	0.002317	0.000000	0.000000	0.000000	0.000000
1880.0	0.455894	0.676764	6.308757	5.869182	0.137199	0.033451	0.000000	0.002398	0.000000	0.000000	0.000000	0.000000
1885.0	0.478971	0.689008	6.113426	5.649054	0.141147	0.036070	0.000000	0.002460	0.000000	0.000000	0.000000	0.000000
1890.0	0.476109	0.663292	5.964757	5.476700	0.142952	0.036157	0.000000	0.002629	0.000000	0.000000	0.000000	0.000000
1895.0	0.461799	0.617595	6.007856	5.490456	0.132811	0.035724	0.000000	0.002650	0.000000	0.000000	0.000000	0.000000
1900.0	0.431202	0.575150	6.066073	5.559043	0.125752	0.033720	0.000000	0.002619	0.000000	0.000000	0.000000	0.000000
1905.0	0.429608	0.607594	5.996897	5.471645	0.126714	0.036074	0.000024	0.002650	0.000000	0.000000	0.000000	0.000000
1910.0	0.434988	0.627012	5.923152	5.422786	0.133678	0.038514	0.000052	0.002730	0.000000	0.000000	0.000000	0.000000
1915.0	0.464157	0.671350	5.812974	5.336816	0.131261	0.041838	0.000080	0.002821	0.000000	0.000000	0.000000	0.000000
1920.0	0.457875	0.681233	5.716253	5.209217	0.136367	0.044833	0.000106	0.002909	0.000000	0.000000	0.000000	0.000000
1925.0	0.423003	0.601963	5.646425	5.098296	0.128595	0.041196	0.000125	0.002862	0.000000	0.000000	0.000000	0.000000
1930.0	0.407122	0.533840	5.784589	5.263549	0.111386	0.030798	0.000133	0.002571	0.000000	0.000000	0.000000	0.000000
1935.0	0.419439	0.566485	5.833895	5.377991	0.096235	0.027228	0.000129	0.002692	0.000000	0.000000	0.000000	0.000000
1940.0	0.480797	0.670541	5.893654	5.372302	0.121715	0.040694	0.000107	0.003305	0.000000	0.000000	0.000000	0.000000
1945.0	0.520779	0.707369	5.979721	5.384232	0.149073	0.055712	0.000066	0.003664	0.000000	0.000000	0.000000	0.000000
1950.0	0.525265	0.708627	5.912426	5.331078	0.163645	0.058978	0.000000	0.004489	0.000000	0.000000	0.000000	0.000000
1955.0	0.535838	0.692887	5.752446	5.261199	0.196918	0.050903	0.000000	0.008526	0.000000	0.000000	0.000000	0.000000
1960.0	0.548890	0.667588	5.625510	5.122283	0.204593	0.046265	0.000000	0.006307	0.000000	0.000000	0.000000	0.000000
1965.0	0.569468	0.667686	5.646973	5.086014	0.182576	0.053160	0.000000	0.005917	0.000000	0.000000	0.000000	0.000000
1970.0	0.525420	0.651047	5.681130	4.991969	0.188223	0.034615	0.000000	0.008694	0.000000	0.000000	0.000000	0.000000
1975.0	0.587849	0.682029	5.723049	5.174400	0.209855	0.064734	0.000000	0.006101	0.000000	0.000000	0.000000	0.000000
1980.0	0.625521	0.679248	5.706056	5.192065	0.226404	0.047506	0.000000	0.007434	0.000000	0.000000	0.000000	0.000000
1985.0	0.577591	0.686897	5.708970	5.141908	0.206340	0.065885	0.000000	0.007610	0.000000	0.000000	0.000000	0.000000
1990.0	0.533305	0.659822	5.728397	5.073022	0.186969	0.047406	0.000000	0.005268	0.000000	0.000000	0.000000	0.000000
1995.0	0.504121	0.619402	5.385556	4.915436	0.172600	0.031215	0.000000	0.009817	0.000000	0.000000	0.000000	0.000000
2000.0	0.518605	0.623085	5.201693	4.906571	0.164684	0.057676	0.000000	0.008977	0.000000	0.000000	0.000000	0.000000
